ダウンロードした時刻：2021/11/22 15:58:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,下関,下関,下関,下関,下関,下関,下関,下関,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新津,新津,新津,新津,新津,新津,新津,新津,津川,津川,津川,津川,津川,津川,津川,津川,長岡,長岡,長岡,長岡,長岡,長岡,長岡,長岡,守門,守門,守門,守門,守門,守門,守門,守門,小出,小出,小出,小出,小出,小出,小出,小出,柏崎,柏崎,柏崎,柏崎,柏崎,柏崎,柏崎,柏崎,安塚,安塚,安塚,安塚,安塚,安塚,安塚,安塚,高田,高田,高田,高田,高田,高田,高田,高田,高田,高田,高田,能生,能生,能生,能生,能生,能生,能生,能生,関山,関山,関山,関山,関山,関山,関山,関山,十日町,十日町,十日町,十日町,十日町,十日町,十日町,十日町,津南,津南,津南,津南,津南,津南,津南,津南,湯沢,湯沢,湯沢,湯沢,湯沢,湯沢,湯沢,湯沢,相川,相川,相川,相川,相川,相川,相川,相川,相川,相川,相川
2021/3/12,1,8,1,3,8,5,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,1,8,3,8,1,2,8,1,4,8,6,8,1,0,8,1,2,8,2,8,1,0,8,1,7,8,6,8,1,1,8,1,5,8,2,8,1,0,8,1,1,8,1,5,1,0,8,1,5,8,2,5,1,0,1,8,1,2,,8,0,0,8,1,1,8,1,3,8,1,5,1,1,8,1,6,8,4,8,1,0,8,1,5,8,4,8,1,5,8,1,7,8,4,8,1,0,8,1,6,8,3,8,1,0,1,8,1,0,,8,0,0,8,1
2021/3/13,4,8,1,3,8,3,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,1,8,1,3,8,1,4,8,4,8,1,0,8,1,2,8,2,8,1,0,5,1,6,8,5,8,1,0,8,1,5,8,4,8,1,0,8,1,1,8,2,5,1,1,8,1,5,8,2,8,1,0,1,8,1,2,,8,0,0,5,1,1,8,1,2,8,1,5,1,1,8,1,5,8,3,8,1,0,8,1,5,8,3,8,1,8,8,1,6,8,4,8,1,2,8,1,6,8,2,8,1,0,1,8,1,0,,8,0,0,8,1
2021/3/14,3,8,1,2,8,2,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,1,8,1,10,8,1,4,8,2,8,1,0,8,1,2,8,1,8,1,0,8,1,6,8,4,8,1,0,8,1,4,8,1,8,1,0,8,1,1,8,0,8,1,0,8,1,4,8,2,8,1,0,1,8,1,2,,8,1,0,8,1,0,8,1,2,8,1,8,1,1,8,1,5,8,4,8,1,0,8,1,5,8,3,8,1,2,8,1,6,8,5,8,1,1,8,1,5,8,4,8,1,0,1,8,1,0,,8,0,0,8,1
2021/3/15,4,8,1,2,8,2,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,1,8,1,8,1,3,8,1,3,8,4,8,1,0,8,1,2,8,1,8,1,0,4,1,6,8,3,8,1,1,8,1,4,8,2,8,1,0,8,1,1,8,0,8,1,0,8,1,4,8,1,8,1,0,1,8,1,1,,8,0,1,8,1,0,8,1,2,8,1,8,1,1,8,1,5,8,2,8,1,0,8,1,5,8,2,8,1,4,8,1,6,8,5,8,1,2,8,1,5,8,3,8,1,0,1,8,1,0,,8,0,1,8,1
2021/3/16,2,8,1,2,8,1,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,1,8,0,8,1,4,8,1,3,8,1,8,1,0,8,1,1,8,1,8,1,0,8,1,5,8,2,8,1,0,8,1,4,8,1,8,1,0,4,1,1,8,0,8,1,0,8,1,4,8,1,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,2,8,1,8,1,1,8,1,5,8,4,8,1,1,8,1,4,8,2,8,1,5,8,1,6,8,5,8,1,1,8,1,5,8,4,8,1,0,1,8,1,0,,8,0,0,8,1
2021/3/17,0,8,1,2,8,1,8,1,0,1,8,1,0,,8,0,0,8,1,0,4,1,1,8,0,8,1,3,8,1,3,8,0,8,1,0,8,1,1,8,1,8,1,0,8,1,5,8,1,8,1,0,8,1,4,8,1,8,1,0,8,1,1,8,0,8,1,1,8,1,4,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,2,8,1,8,1,1,8,1,5,8,4,8,1,2,8,1,4,8,4,8,1,1,8,1,6,8,5,8,1,1,8,1,5,8,4,8,1,0,1,8,1,0,,8,0,1,8,1
2021/3/18,0,8,1,2,8,0,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,1,8,0,8,1,0,8,1,3,8,1,8,1,0,8,1,1,8,1,8,1,1,8,1,5,8,2,8,1,1,8,1,3,8,1,8,1,0,8,1,1,8,0,5,1,0,8,1,3,8,1,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,1,8,1,8,1,1,8,1,5,8,0,8,1,1,8,1,4,8,0,8,1,3,8,1,5,8,1,8,1,0,8,1,5,8,1,8,1,0,1,8,1,0,1,8,0,1,8,1
2021/3/19,0,8,1,1,8,1,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,3,8,2,8,1,0,8,1,1,8,1,8,1,4,8,1,5,8,3,8,1,0,8,1,3,8,2,8,1,0,5,1,0,8,1,5,1,0,8,1,3,8,3,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,1,8,1,1,8,1,4,8,3,8,1,0,5,1,4,8,2,8,1,2,8,1,5,8,3,8,1,0,8,1,4,8,1,8,1,0,1,8,1,0,,8,0,1,8,1
2021/3/20,0,8,1,1,8,3,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,0,8,1,8,1,0,8,1,2,8,2,8,1,0,8,1,1,8,1,8,1,0,8,1,5,8,1,8,1,0,8,1,3,8,1,8,1,0,8,1,0,8,0,8,1,0,8,1,3,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,0,8,1,0,8,1,4,8,1,8,1,0,8,1,4,8,1,8,1,3,8,1,5,8,1,8,1,0,4,1,4,8,1,8,1,0,1,8,1,0,1,8,0,1,8,1
2021/3/21,0,8,1,1,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,2,8,1,8,1,0,8,1,1,8,1,8,1,0,8,1,5,8,2,8,1,0,8,1,3,8,2,8,1,0,8,1,0,8,0,8,1,1,8,1,3,8,2,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,0,8,1,0,8,1,4,8,7,5,1,0,8,1,4,8,3,8,1,5,8,1,5,8,8,8,1,1,4,1,4,8,6,8,1,0,1,8,1,0,,8,0,1,8,1
2021/3/22,0,8,1,1,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,2,8,0,8,1,0,8,1,1,8,0,8,1,1,8,1,5,8,1,8,1,2,8,1,3,8,0,8,1,0,8,1,0,8,0,8,1,1,8,1,3,8,1,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,1,8,0,8,1,0,8,1,4,8,1,8,1,0,8,1,4,8,0,8,1,4,8,1,5,8,1,8,1,2,8,1,4,8,1,8,1,0,1,8,1,0,,8,0,1,8,1
2021/3/23,0,8,1,1,8,1,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,2,8,3,8,1,0,8,1,1,8,1,8,1,4,5,1,5,8,5,8,1,0,8,1,3,8,2,8,1,0,5,1,0,8,0,8,1,3,8,1,3,8,3,8,1,0,1,8,1,1,,8,1,0,8,1,0,8,1,1,8,1,8,1,0,8,1,4,8,4,8,1,1,8,1,3,8,4,8,1,5,8,1,5,8,6,8,1,1,5,1,4,8,3,8,1,0,1,8,1,0,1,8,0,1,8,1
2021/3/24,0,8,1,1,8,1,8,1,0,1,8,1,0,,8,1,0,8,1,0,5,1,0,8,0,8,1,0,8,1,2,8,2,8,1,0,8,1,0,8,1,8,1,2,8,1,5,8,4,8,1,0,8,1,3,8,2,8,1,0,5,1,0,8,0,8,1,2,8,1,3,8,2,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,1,8,0,8,1,0,8,1,4,8,6,8,1,3,8,1,3,8,4,8,1,9,8,1,5,8,11,8,1,0,4,1,4,8,10,8,1,0,1,8,1,0,,8,0,0,8,1
2021/3/25,0,8,1,1,8,2,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,0,8,1,0,8,1,2,8,2,8,1,0,8,1,0,8,0,8,1,2,8,1,5,8,4,8,1,0,8,1,3,8,2,8,1,0,8,1,0,8,0,8,1,1,8,1,3,8,2,8,1,0,1,8,1,1,,8,0,0,8,1,0,8,1,1,8,1,8,1,0,8,1,4,8,5,8,1,1,5,1,3,8,3,8,1,11,8,1,5,8,5,8,1,3,8,1,4,8,3,8,1,0,1,8,1,0,,8,0,0,8,1
2021/3/26,0,8,1,1,8,3,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,2,8,3,8,1,0,8,1,0,8,1,8,1,1,8,1,5,8,6,8,1,3,8,1,3,8,3,8,1,0,8,1,0,8,0,8,1,1,8,1,3,8,4,8,1,0,1,8,1,0,,8,1,0,8,1,0,8,1,1,8,2,8,1,0,8,1,4,8,7,5,1,1,8,1,3,8,4,8,1,5,8,1,5,8,5,8,1,3,8,1,4,8,3,8,1,0,1,8,1,0,1,8,0,1,8,1
2021/3/27,0,8,1,1,8,1,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,1,8,1,8,1,0,8,1,0,8,0,8,1,0,8,1,4,8,3,8,1,4,8,1,3,8,3,8,1,0,8,1,0,8,0,8,1,0,8,1,3,8,3,8,1,0,1,8,1,0,,8,2,0,8,1,0,8,1,1,8,2,8,1,0,8,1,4,8,0,8,1,0,8,1,3,8,2,8,1,5,8,1,5,8,4,8,1,0,5,1,3,8,2,8,1,0,1,8,1,0,1,8,0,1,8,1
2021/3/28,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,1,8,0,8,1,0,8,1,0,8,0,8,1,1,8,1,4,8,1,8,1,0,8,1,3,8,0,8,1,0,8,1,0,8,0,8,1,0,8,1,2,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,3,8,1,8,1,1,8,1,3,8,0,8,1,1,8,1,5,8,3,8,1,0,8,1,3,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1
2021/3/29,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,5,1,0,8,0,8,1,0,8,1,1,8,0,8,1,0,8,1,0,8,0,8,1,0,8,1,4,8,1,8,1,1,8,1,2,8,1,8,1,0,5,1,0,8,0,8,1,0,8,1,2,8,0,8,1,0,1,8,1,0,,8,0,0,8,1,0,8,1,0,8,0,8,1,0,5,1,3,8,1,8,1,0,8,1,3,8,1,8,1,6,8,1,5,8,3,8,1,2,5,1,3,8,1,8,1,0,1,8,1,0,1,8,0,1,8,1
2021/3/30,0,8,1,0,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,1,8,0,8,1,0,8,1,0,8,0,8,1,1,8,1,4,8,0,8,1,0,8,1,2,8,0,8,1,0,8,1,0,8,0,8,1,1,8,1,2,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,5,1,0,8,1,3,8,0,8,1,1,8,1,3,8,0,8,1,7,8,1,4,8,0,8,1,0,8,1,3,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1
2021/3/31,0,8,1,0,8,0,8,1,0,1,8,1,0,1,8,0,1,8,1,0,8,1,0,8,0,8,1,0,8,1,1,8,1,8,1,0,8,1,0,8,0,8,1,1,8,1,4,8,1,8,1,1,8,1,2,8,0,8,1,0,5,1,0,8,0,8,1,2,8,1,2,8,0,8,1,0,1,8,1,0,,8,0,1,8,1,0,8,1,0,8,0,5,1,0,4,1,3,8,0,8,1,1,8,1,3,8,1,8,1,5,8,1,4,8,2,8,1,0,4,1,3,8,1,8,1,0,1,8,1,0,1,8,0,1,8,1
