1,cyclonegenesis date,2016-04-11T15:00:00+09:00
2,lifetime (hour),54
3,max. developing rate,1.89,41.2,157.5
4,minimum SLP,966.4,43.8,165.0
100,No. of timestep (or No. of lines),10
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2016-04-11,15:00:00,37.5,151.2,999.3,-999
110,2,2016-04-11,21:00:00,38.8,155.0,995.3,1.51
110,3,2016-04-12,03:00:00,41.2,157.5,983.2,1.89
110,4,2016-04-12,09:00:00,42.5,160.0,974.2,1.39
110,5,2016-04-12,15:00:00,43.8,162.5,967.3,0.66
110,6,2016-04-12,21:00:00,43.8,165.0,966.4,-0.25
110,7,2016-04-13,03:00:00,43.8,167.5,970.2,-0.83
110,8,2016-04-13,09:00:00,45.0,171.2,976.1,-0.88
110,9,2016-04-13,15:00:00,46.2,176.2,980.8,-0.73
110,10,2016-04-13,21:00:00,48.8,180.0,985.1,-999
