1,cyclonegenesis date,2010-04-13T03:00:00+09:00
2,lifetime (hour),90
3,max. developing rate,1.05,46.2,138.8
4,minimum SLP,971.4,52.5,152.5
100,No. of timestep (or No. of lines),16
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2010-04-13,03:00:00,40.0,133.8,1001.5,-999
110,2,2010-04-13,09:00:00,42.5,135.0,998.7,0.76
110,3,2010-04-13,15:00:00,43.8,137.5,992.8,1.03
110,4,2010-04-13,21:00:00,46.2,138.8,986.6,1.05
110,5,2010-04-14,03:00:00,47.5,140.0,980.0,0.67
110,6,2010-04-14,09:00:00,47.5,142.5,978.2,0.38
110,7,2010-04-14,15:00:00,48.8,145.0,975.3,0.2
110,8,2010-04-14,21:00:00,51.2,150.0,975.6,0.29
110,9,2010-04-15,03:00:00,52.5,152.5,971.4,0.12
110,10,2010-04-15,09:00:00,52.5,153.8,974.0,-0.45
110,11,2010-04-15,15:00:00,53.8,157.5,977.4,-0.53
110,12,2010-04-15,21:00:00,55.0,161.2,981.2,-0.33
110,13,2010-04-16,03:00:00,56.2,167.5,982.0,-0.06
110,14,2010-04-16,09:00:00,57.5,170.0,982.1,-0.01
110,15,2010-04-16,15:00:00,57.5,173.8,982.2,-0.03
110,16,2010-04-16,21:00:00,57.5,177.5,982.5,-999
