1,cyclonegenesis date,2014-12-31T21:00:00+09:00
2,lifetime (hour),84
3,max. developing rate,1.54,36.2,143.8
4,minimum SLP,961.1,55.0,166.2
100,No. of timestep (or No. of lines),15
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2014-12-31,21:00:00,36.2,141.2,999.4,-999
110,2,2015-01-01,03:00:00,36.2,143.8,990.6,1.54
110,3,2015-01-01,09:00:00,38.8,148.8,984.0,1.4
110,4,2015-01-01,15:00:00,40.0,152.5,975.7,1.37
110,5,2015-01-01,21:00:00,42.5,156.2,969.1,1.04
110,6,2015-01-02,03:00:00,45.0,160.0,963.8,0.38
110,7,2015-01-02,09:00:00,48.8,163.8,964.5,0.16
110,8,2015-01-02,15:00:00,51.2,165.0,961.8,0.23
110,9,2015-01-02,21:00:00,53.8,166.2,961.4,0.05
110,10,2015-01-03,03:00:00,55.0,166.2,961.1,-0.19
110,11,2015-01-03,09:00:00,56.2,165.0,964.0,-0.42
110,12,2015-01-03,15:00:00,57.5,165.0,967.0,-0.45
110,13,2015-01-03,21:00:00,58.8,163.8,970.5,-0.56
110,14,2015-01-04,03:00:00,60.0,162.5,975.2,-0.86
110,15,2015-01-04,09:00:00,60.0,161.2,983.1,-999
