1,cyclonegenesis date,2016-02-29T21:00:00+09:00
2,lifetime (hour),108
3,max. developing rate,2.14,41.2,150.0
4,minimum SLP,970.2,45.0,151.2
100,No. of timestep (or No. of lines),19
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2016-02-29,21:00:00,38.8,146.2,996.8,-999
110,2,2016-03-01,03:00:00,41.2,150.0,982.4,2.14
110,3,2016-03-01,09:00:00,45.0,150.0,972.9,1.02
110,4,2016-03-01,15:00:00,45.0,151.2,970.2,-0.05
110,5,2016-03-01,21:00:00,46.2,155.0,973.5,-0.43
110,6,2016-03-02,03:00:00,46.2,157.5,975.5,-0.58
110,7,2016-03-02,09:00:00,47.5,158.8,980.6,-0.46
110,8,2016-03-02,15:00:00,47.5,162.5,981.2,-0.13
110,9,2016-03-02,21:00:00,47.5,163.8,982.2,-0.14
110,10,2016-03-03,03:00:00,47.5,166.2,983.0,-0.15
110,11,2016-03-03,09:00:00,47.5,168.8,984.1,0
110,12,2016-03-03,15:00:00,47.5,170.0,983.0,0.11
110,13,2016-03-03,21:00:00,46.2,171.2,982.7,0
110,14,2016-03-04,03:00:00,46.2,172.5,983.0,-0.23
110,15,2016-03-04,09:00:00,46.2,175.0,985.5,-0.33
110,16,2016-03-04,15:00:00,46.2,177.5,987.0,-0.23
110,17,2016-03-04,21:00:00,46.2,178.8,988.3,-0.11
110,18,2016-03-05,03:00:00,46.2,180.0,988.4,-0.07
110,19,2016-03-05,09:00:00,46.2,180.0,989.2,-999
