1,cyclonegenesis date,2014-03-12T15:00:00+09:00
2,lifetime (hour),102
3,max. developing rate,1.04,32.5,131.2
4,minimum SLP,968.1,52.5,170.0
100,No. of timestep (or No. of lines),18
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2014-03-12,15:00:00,30.0,121.2,1011.2,-999
110,2,2014-03-12,21:00:00,32.5,126.2,1009.5,0.73
110,3,2014-03-13,03:00:00,33.8,128.8,1004.5,0.81
110,4,2014-03-13,09:00:00,32.5,131.2,1001.9,1.04
110,5,2014-03-13,15:00:00,33.8,135.0,995.0,1.04
110,6,2014-03-13,21:00:00,36.2,140.0,992.1,0.77
110,7,2014-03-14,03:00:00,40.0,145.0,987.3,0.94
110,8,2014-03-14,09:00:00,43.8,148.8,981.8,0.78
110,9,2014-03-14,15:00:00,45.0,150.0,978.1,0.58
110,10,2014-03-14,21:00:00,46.2,151.2,974.8,0.47
110,11,2014-03-15,03:00:00,48.8,153.8,972.3,0.1
110,12,2014-03-15,09:00:00,50.0,157.5,973.5,-0.02
110,13,2014-03-15,15:00:00,51.2,161.2,972.6,0.17
110,14,2014-03-15,21:00:00,51.2,163.8,971.3,0.29
110,15,2014-03-16,03:00:00,52.5,167.5,968.7,0.24
110,16,2014-03-16,09:00:00,52.5,170.0,968.1,0.01
110,17,2014-03-16,15:00:00,53.8,173.8,968.6,-0.13
110,18,2014-03-16,21:00:00,55.0,177.5,969.9,-999
