1,cyclonegenesis date,2016-11-27T21:00:00+09:00
2,lifetime (hour),54
3,max. developing rate,2.24,41.2,153.8
4,minimum SLP,957.0,46.2,161.2
100,No. of timestep (or No. of lines),10
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2016-11-27,21:00:00,36.2,145.0,1008.5,-999
110,2,2016-11-28,03:00:00,38.8,150.0,999.0,1.85
110,3,2016-11-28,09:00:00,41.2,153.8,988.8,2.24
110,4,2016-11-28,15:00:00,43.8,157.5,974.0,1.92
110,5,2016-11-28,21:00:00,45.0,160.0,966.2,1.42
110,6,2016-11-29,03:00:00,46.2,161.2,957.0,0.6
110,7,2016-11-29,09:00:00,46.2,163.8,958.8,-0.46
110,8,2016-11-29,15:00:00,47.5,168.8,962.6,-0.66
110,9,2016-11-29,21:00:00,48.8,172.5,967.1,-0.45
110,10,2016-11-30,03:00:00,50.0,176.2,968.4,-999
