1,cyclonegenesis date,2017-02-18T03:00:00+09:00
2,lifetime (hour),60
3,max. developing rate,1.03,48.8,155.0
4,minimum SLP,967.7,51.2,151.2
100,No. of timestep (or No. of lines),11
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2017-02-18,03:00:00,46.2,153.8,983.1,-999
110,2,2017-02-18,09:00:00,48.8,155.0,973.7,1.03
110,3,2017-02-18,15:00:00,51.2,153.8,969.9,0.45
110,4,2017-02-18,21:00:00,51.2,151.2,967.7,0.1
110,5,2017-02-19,03:00:00,50.0,151.2,968.6,-0.05
110,6,2017-02-19,09:00:00,48.8,152.5,968.3,-0.02
110,7,2017-02-19,15:00:00,50.0,155.0,968.9,-0.22
110,8,2017-02-19,21:00:00,50.0,155.0,971.2,-0.32
110,9,2017-02-20,03:00:00,50.0,156.2,973.1,-0.51
110,10,2017-02-20,09:00:00,50.0,157.5,977.8,-0.49
110,11,2017-02-20,15:00:00,50.0,158.8,979.5,-999
