1,cyclonegenesis date,2011-02-17T03:00:00+09:00
2,lifetime (hour),78
3,max. developing rate,1.31,42.5,148.8
4,minimum SLP,965.8,51.2,157.5
100,No. of timestep (or No. of lines),14
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2011-02-17,03:00:00,28.8,126.2,1015.7,-999
110,2,2011-02-17,09:00:00,31.2,128.8,1014.9,0.68
110,3,2011-02-17,15:00:00,32.5,130.0,1009.7,0.93
110,4,2011-02-17,21:00:00,33.8,133.8,1006.4,0.83
110,5,2011-02-18,03:00:00,35.0,137.5,1001.9,0.79
110,6,2011-02-18,09:00:00,36.2,142.5,998.7,0.97
110,7,2011-02-18,15:00:00,40.0,146.2,992.2,1.16
110,8,2011-02-18,21:00:00,42.5,148.8,986.0,1.31
110,9,2011-02-19,03:00:00,46.2,152.5,977.2,1.26
110,10,2011-02-19,09:00:00,48.8,155.0,970.6,0.89
110,11,2011-02-19,15:00:00,51.2,157.5,965.8,-0.01
110,12,2011-02-19,21:00:00,53.8,160.0,970.7,-0.22
110,13,2011-02-20,03:00:00,57.5,165.0,968.8,-0.01
110,14,2011-02-20,09:00:00,60.0,168.8,970.8,-999
