1,cyclonegenesis date,2016-02-09T15:00:00+09:00
2,lifetime (hour),66
3,max. developing rate,1.09,41.2,152.5
4,minimum SLP,978.1,42.5,175.0
100,No. of timestep (or No. of lines),12
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2016-02-09,15:00:00,40.0,146.2,1001.4,-999
110,2,2016-02-09,21:00:00,40.0,150.0,998.9,0.91
110,3,2016-02-10,03:00:00,41.2,152.5,991.5,1.09
110,4,2016-02-10,09:00:00,41.2,153.8,986.7,0.83
110,5,2016-02-10,15:00:00,41.2,155.0,982.2,0.5
110,6,2016-02-10,21:00:00,42.5,158.8,981.1,0.23
110,7,2016-02-11,03:00:00,42.5,160.0,979.6,0.13
110,8,2016-02-11,09:00:00,42.5,162.5,979.6,0.01
110,9,2016-02-11,15:00:00,41.2,165.0,979.5,0.07
110,10,2016-02-11,21:00:00,41.2,168.8,978.8,0.09
110,11,2016-02-12,03:00:00,42.5,172.5,978.5,0.06
110,12,2016-02-12,09:00:00,42.5,175.0,978.1,-999
