1,cyclonegenesis date,2013-11-10T03:00:00+09:00
2,lifetime (hour),108
3,max. developing rate,2.20,48.8,146.2
4,minimum SLP,961.4,51.2,147.5
100,No. of timestep (or No. of lines),19
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2013-11-10,03:00:00,43.8,137.5,1001.9,-999
110,2,2013-11-10,09:00:00,45.0,141.2,989.5,2.25
110,3,2013-11-10,15:00:00,48.8,146.2,974.9,2.2
110,4,2013-11-10,21:00:00,51.2,147.5,961.4,1.01
110,5,2013-11-11,03:00:00,53.8,148.8,961.6,-0.77
110,6,2013-11-11,09:00:00,55.0,150.0,972.0,-1.21
110,7,2013-11-11,15:00:00,56.2,150.0,978.4,-0.92
110,8,2013-11-11,21:00:00,56.2,150.0,985.0,-0.52
110,9,2013-11-12,03:00:00,56.2,148.8,985.7,-0.04
110,10,2013-11-12,09:00:00,56.2,147.5,985.6,0.25
110,11,2013-11-12,15:00:00,56.2,146.2,982.2,0.2
110,12,2013-11-12,21:00:00,57.5,147.5,982.8,-0.2
110,13,2013-11-13,03:00:00,57.5,147.5,985.1,-0.36
110,14,2013-11-13,09:00:00,57.5,148.8,988.0,-0.32
110,15,2013-11-13,15:00:00,57.5,150.0,989.7,-0.31
110,16,2013-11-13,21:00:00,58.8,150.0,992.4,-0.49
110,17,2013-11-14,03:00:00,58.8,147.5,996.8,-0.63
110,18,2013-11-14,09:00:00,60.0,147.5,1001.5,-0.67
110,19,2013-11-14,15:00:00,60.0,148.8,1006.6,-999
