1,cyclonegenesis date,2018-05-02T03:00:00+09:00
2,lifetime (hour),72
3,max. developing rate,1.09,38.8,133.8
4,minimum SLP,988.4,42.5,135.0
100,No. of timestep (or No. of lines),13
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2018-05-02,03:00:00,33.8,125.0,1007.9,-999
110,2,2018-05-02,09:00:00,35.0,127.5,1006.3,0.45
110,3,2018-05-02,15:00:00,36.2,130.0,1003.5,0.82
110,4,2018-05-02,21:00:00,38.8,133.8,998.1,1.09
110,5,2018-05-03,03:00:00,40.0,135.0,991.9,0.83
110,6,2018-05-03,09:00:00,41.2,135.0,989.0,0.31
110,7,2018-05-03,15:00:00,42.5,135.0,988.4,-0.29
110,8,2018-05-03,21:00:00,42.5,133.8,992.3,-0.5
110,9,2018-05-04,03:00:00,42.5,133.8,994.1,-0.53
110,10,2018-05-04,09:00:00,43.8,133.8,998.4,-0.5
110,11,2018-05-04,15:00:00,43.8,135.0,1000.0,-0.44
110,12,2018-05-04,21:00:00,43.8,137.5,1003.6,-0.36
110,13,2018-05-05,03:00:00,46.2,137.5,1004.2,-999
