1,cyclonegenesis date,2010-11-13T09:00:00+09:00
2,lifetime (hour),72
3,max. developing rate,1.44,48.8,141.2
4,minimum SLP,988.7,51.2,150.0
100,No. of timestep (or No. of lines),13
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2010-11-13,09:00:00,45.0,125.0,1018.1,-999
110,2,2010-11-13,15:00:00,46.2,127.5,1016.3,0.2
110,3,2010-11-13,21:00:00,46.2,131.2,1015.7,0.17
110,4,2010-11-14,03:00:00,47.5,137.5,1014.2,0.74
110,5,2010-11-14,09:00:00,48.8,141.2,1006.5,1.44
110,6,2010-11-14,15:00:00,50.0,142.5,995.8,1.06
110,7,2010-11-14,21:00:00,50.0,143.8,992.7,0.43
110,8,2010-11-15,03:00:00,50.0,146.2,990.2,0.17
110,9,2010-11-15,09:00:00,51.2,148.8,990.5,0.11
110,10,2010-11-15,15:00:00,51.2,150.0,988.7,-0.02
110,11,2010-11-15,21:00:00,53.8,152.5,990.7,-0.21
110,12,2010-11-16,03:00:00,57.5,157.5,991.6,0.13
110,13,2010-11-16,09:00:00,60.0,157.5,988.9,-999
