1,cyclonegenesis date,2011-12-02T21:00:00+09:00
2,lifetime (hour),114
3,max. developing rate,1.49,42.5,148.8
4,minimum SLP,966.6,46.2,162.5
100,No. of timestep (or No. of lines),20
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2011-12-02,21:00:00,30.0,131.2,1007.8,-999
110,2,2011-12-03,03:00:00,31.2,132.5,1005.1,0.36
110,3,2011-12-03,09:00:00,33.8,135.0,1004.6,0.56
110,4,2011-12-03,15:00:00,37.5,138.8,999.8,0.69
110,5,2011-12-03,21:00:00,38.8,142.5,997.5,0.78
110,6,2011-12-04,03:00:00,41.2,146.2,991.5,1.22
110,7,2011-12-04,09:00:00,42.5,148.8,983.9,1.49
110,8,2011-12-04,15:00:00,43.8,150.0,974.4,0.83
110,9,2011-12-04,21:00:00,43.8,158.8,974.1,0.39
110,10,2011-12-05,03:00:00,45.0,160.0,969.8,0.63
110,11,2011-12-05,09:00:00,46.2,162.5,966.6,0.18
110,12,2011-12-05,15:00:00,46.2,165.0,967.6,-0.29
110,13,2011-12-05,21:00:00,47.5,167.5,970.2,-0.12
110,14,2011-12-06,03:00:00,48.8,170.0,969.1,-0.03
110,15,2011-12-06,09:00:00,50.0,171.2,970.6,-0.15
110,16,2011-12-06,15:00:00,50.0,172.5,971,-0.09
110,17,2011-12-06,21:00:00,50.0,173.8,971.8,-0.15
110,18,2011-12-07,03:00:00,51.2,176.2,973.0,-0.25
110,19,2011-12-07,09:00:00,51.2,177.5,975.1,-0.25
110,20,2011-12-07,15:00:00,52.5,180.0,976.3,-999
