1,cyclonegenesis date,2012-04-02T15:00:00+09:00
2,lifetime (hour),132
3,max. developing rate,2.47,37.5,131.2
4,minimum SLP,957.8,46.2,145.0
100,No. of timestep (or No. of lines),23
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2012-04-02,15:00:00,32.5,118.8,1006.3,-999
110,2,2012-04-02,21:00:00,32.5,122.5,1007.3,0.65
110,3,2012-04-03,03:00:00,36.2,127.5,1000.4,1.88
110,4,2012-04-03,09:00:00,37.5,131.2,988.5,2.47
110,5,2012-04-03,15:00:00,38.8,133.8,974.9,1.39
110,6,2012-04-03,21:00:00,41.2,137.5,973.7,0.41
110,7,2012-04-04,03:00:00,42.5,141.2,970.3,1.39
110,8,2012-04-04,09:00:00,46.2,145.0,957.8,0.94
110,9,2012-04-04,15:00:00,47.5,145.0,958.8,-0.58
110,10,2012-04-04,21:00:00,47.5,146.2,965.1,-0.53
110,11,2012-04-05,03:00:00,48.8,147.5,965.4,-0.31
110,12,2012-04-05,09:00:00,50.0,148.8,969.1,-0.55
110,13,2012-04-05,15:00:00,50.0,148.8,972.6,-0.63
110,14,2012-04-05,21:00:00,50.0,150.0,977.3,-0.56
110,15,2012-04-06,03:00:00,50.0,150.0,979.9,-0.45
110,16,2012-04-06,09:00:00,50.0,150.0,983.2,-0.41
110,17,2012-04-06,15:00:00,50.0,151.2,985.2,-0.42
110,18,2012-04-06,21:00:00,50.0,151.2,988.7,-0.39
110,19,2012-04-07,03:00:00,50.0,151.2,990.3,-0.26
110,20,2012-04-07,09:00:00,50.0,152.5,992.1,-0.2
110,21,2012-04-07,15:00:00,50.0,152.5,992.9,-0.22
110,22,2012-04-07,21:00:00,51.2,153.8,995.0,-0.29
110,23,2012-04-08,03:00:00,51.2,155.0,996.8,-999
