1,cyclonegenesis date,2016-11-19T09:00:00+09:00
2,lifetime (hour),90
3,max. developing rate,1.30,50.0,150.0
4,minimum SLP,973.0,55.0,162.5
100,No. of timestep (or No. of lines),16
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2016-11-19,09:00:00,41.2,130.0,1011.4,-999
110,2,2016-11-19,15:00:00,41.2,131.2,1008.8,0.22
110,3,2016-11-19,21:00:00,43.8,138.8,1008.9,0.3
110,4,2016-11-20,03:00:00,45.0,142.5,1005.3,0.39
110,5,2016-11-20,09:00:00,46.2,145.0,1004.2,0.64
110,6,2016-11-20,15:00:00,48.8,147.5,997.4,0.96
110,7,2016-11-20,21:00:00,50.0,150.0,992.0,1.3
110,8,2016-11-21,03:00:00,51.2,150.0,980.5,1.14
110,9,2016-11-21,09:00:00,52.5,152.5,976.9,0.42
110,10,2016-11-21,15:00:00,52.5,153.8,974.8,0.04
110,11,2016-11-21,21:00:00,53.8,158.8,976.3,0.13
110,12,2016-11-22,03:00:00,55.0,162.5,973.0,0.17
110,13,2016-11-22,09:00:00,55.0,165.0,973.9,-0.24
110,14,2016-11-22,15:00:00,56.2,168.8,976.3,-0.43
110,15,2016-11-22,21:00:00,56.2,172.5,980.0,-0.64
110,16,2016-11-23,03:00:00,56.2,177.5,985.3,-999
