1,cyclonegenesis date,2011-12-22T03:00:00+09:00
2,lifetime (hour),132
3,max. developing rate,1.10,40.0,135.0
4,minimum SLP,988.3,46.2,142.5
100,No. of timestep (or No. of lines),23
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2011-12-22,03:00:00,40.0,132.5,1013.8,-999
110,2,2011-12-22,09:00:00,40.0,135.0,1008.5,1.1
110,3,2011-12-22,15:00:00,41.2,137.5,1001.8,1.06
110,4,2011-12-22,21:00:00,42.5,138.8,996.7,0.79
110,5,2011-12-23,03:00:00,43.8,140.0,992.7,0.28
110,6,2011-12-23,09:00:00,43.8,142.5,993.4,0.2
110,7,2011-12-23,15:00:00,45.0,142.5,990.4,0.22
110,8,2011-12-23,21:00:00,45.0,142.5,990.7,-0.11
110,9,2011-12-24,03:00:00,45.0,143.8,991.7,0.03
110,10,2011-12-24,09:00:00,46.2,146.2,990.3,0.19
110,11,2011-12-24,15:00:00,47.5,146.2,989.4,0.07
110,12,2011-12-24,21:00:00,47.5,145.0,989.4,0.09
110,13,2011-12-25,03:00:00,46.2,142.5,988.3,-0.15
110,14,2011-12-25,09:00:00,46.2,143.8,991.2,-0.38
110,15,2011-12-25,15:00:00,48.8,148.8,993.0,-0.23
110,16,2011-12-25,21:00:00,48.8,147.5,994.2,-0.11
110,17,2011-12-26,03:00:00,48.8,148.8,994.4,-0.13
110,18,2011-12-26,09:00:00,47.5,148.8,995.8,-0.1
110,19,2011-12-26,15:00:00,47.5,155.0,995.7,-0.06
110,20,2011-12-26,21:00:00,48.8,153.8,996.6,-0.18
110,21,2011-12-27,03:00:00,48.8,150.0,998.0,-0.04
110,22,2011-12-27,09:00:00,48.8,147.5,997.1,-0.2
110,23,2011-12-27,15:00:00,48.8,147.5,1000.6,-999
