1,cyclonegenesis date,2011-03-06T15:00:00+09:00
2,lifetime (hour),156
3,max. developing rate,1.25,47.5,160.0
4,minimum SLP,968.5,50.0,162.5
100,No. of timestep (or No. of lines),27
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2011-03-06,15:00:00,30.0,127.5,1012.6,-999
110,2,2011-03-06,21:00:00,31.2,131.2,1010.3,0.75
110,3,2011-03-07,03:00:00,32.5,135.0,1006.0,0.88
110,4,2011-03-07,09:00:00,32.5,137.5,1002.3,1.09
110,5,2011-03-07,15:00:00,35.0,143.8,996.1,0.78
110,6,2011-03-07,21:00:00,37.5,147.5,994.7,0.42
110,7,2011-03-08,03:00:00,40.0,152.5,991.8,0.37
110,8,2011-03-08,09:00:00,42.5,156.2,990.7,0.63
110,9,2011-03-08,15:00:00,45.0,158.8,984.6,1.16
110,10,2011-03-08,21:00:00,47.5,160.0,976.8,1.25
110,11,2011-03-09,03:00:00,48.8,161.2,969.0,0.65
110,12,2011-03-09,09:00:00,50.0,162.5,968.5,-0.05
110,13,2011-03-09,15:00:00,50.0,163.8,969.6,-0.38
110,14,2011-03-09,21:00:00,51.2,166.2,973.4,-0.44
110,15,2011-03-10,03:00:00,52.5,167.5,975.4,-0.3
110,16,2011-03-10,09:00:00,52.5,167.5,977.5,-0.13
110,17,2011-03-10,15:00:00,53.8,167.5,977.1,-0.01
110,18,2011-03-10,21:00:00,53.8,166.2,977.6,0.16
110,19,2011-03-11,03:00:00,53.8,165.0,974.9,0.21
110,20,2011-03-11,09:00:00,53.8,165.0,974.7,-0.09
110,21,2011-03-11,15:00:00,55.0,165.0,976.1,-0.35
110,22,2011-03-11,21:00:00,55.0,163.8,979.5,-0.46
110,23,2011-03-12,03:00:00,55.0,162.5,982.5,-0.47
110,24,2011-03-12,09:00:00,55.0,162.5,986.1,-0.53
110,25,2011-03-12,15:00:00,55.0,160.0,989.8,-0.46
110,26,2011-03-12,21:00:00,55.0,160.0,992.5,-0.32
110,27,2011-03-13,03:00:00,55.0,161.2,994.2,-999
