1,cyclonegenesis date,2015-01-22T09:00:00+09:00
2,lifetime (hour),102
3,max. developing rate,1.63,37.5,145.0
4,minimum SLP,969.2,43.8,151.2
100,No. of timestep (or No. of lines),18
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2015-01-22,09:00:00,31.2,136.2,1007.0,-999
110,2,2015-01-22,15:00:00,32.5,138.8,1001.9,0.99
110,3,2015-01-22,21:00:00,33.8,141.2,998.0,1.3
110,4,2015-01-23,03:00:00,37.5,145.0,989.6,1.63
110,5,2015-01-23,09:00:00,40.0,148.8,981.2,1.44
110,6,2015-01-23,15:00:00,42.5,150.0,973.9,0.69
110,7,2015-01-23,21:00:00,43.8,151.2,973.3,0.4
110,8,2015-01-24,03:00:00,43.8,151.2,969.2,0.14
110,9,2015-01-24,09:00:00,43.8,153.8,971.7,-0.44
110,10,2015-01-24,15:00:00,45.0,157.5,974.4,-0.27
110,11,2015-01-24,21:00:00,45.0,160.0,975.0,-0.19
110,12,2015-01-25,03:00:00,45.0,163.8,976.7,-0.46
110,13,2015-01-25,09:00:00,46.2,166.2,980.5,-0.41
110,14,2015-01-25,15:00:00,46.2,168.8,981.7,-0.24
110,15,2015-01-25,21:00:00,46.2,171.2,983.4,-0.2
110,16,2015-01-26,03:00:00,46.2,173.8,984.1,-0.2
110,17,2015-01-26,09:00:00,46.2,176.2,985.8,-0.27
110,18,2015-01-26,15:00:00,46.2,180.0,987.4,-999
