1,cyclonegenesis date,2015-02-15T15:00:00+09:00
2,lifetime (hour),186
3,max. developing rate,1.04,33.8,142.5
4,minimum SLP,982.3,33.8,151.2
100,No. of timestep (or No. of lines),32
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2015-02-15,15:00:00,32.5,120.0,1013.3,-999
110,2,2015-02-15,21:00:00,33.8,123.8,1013.2,-0.01
110,3,2015-02-16,03:00:00,33.8,125.0,1013.4,-0.01
110,4,2015-02-16,09:00:00,35.0,125.0,1013.3,0.27
110,5,2015-02-16,15:00:00,32.5,130.0,1010.8,0.29
110,6,2015-02-16,21:00:00,33.8,131.2,1010.7,0.24
110,7,2015-02-17,03:00:00,32.5,133.8,1008.5,0.25
110,8,2015-02-17,09:00:00,32.5,136.2,1008.4,0.43
110,9,2015-02-17,15:00:00,32.5,138.8,1004.6,0.35
110,10,2015-02-17,21:00:00,32.5,140.0,1005.2,0.18
110,11,2015-02-18,03:00:00,32.5,142.5,1003.0,0.69
110,12,2015-02-18,09:00:00,33.8,142.5,998.9,1.04
110,13,2015-02-18,15:00:00,33.8,145.0,993.2,0.85
110,14,2015-02-18,21:00:00,33.8,146.2,990.9,0.57
110,15,2015-02-19,03:00:00,33.8,147.5,987.8,0.31
110,16,2015-02-19,09:00:00,35.0,148.8,988.0,0.38
110,17,2015-02-19,15:00:00,35.0,150.0,984.1,0.48
110,18,2015-02-19,21:00:00,35.0,150.0,983.3,0.18
110,19,2015-02-20,03:00:00,33.8,151.2,982.3,-0.11
110,20,2015-02-20,09:00:00,33.8,153.8,984.3,-0.23
110,21,2015-02-20,15:00:00,33.8,156.2,984.5,-0.15
110,22,2015-02-20,21:00:00,33.8,160.0,985.7,-0.11
110,23,2015-02-21,03:00:00,35.0,163.8,985.5,-0.1
110,24,2015-02-21,09:00:00,36.2,166.2,986.7,-0.01
110,25,2015-02-21,15:00:00,36.2,168.8,985.6,0.03
110,26,2015-02-21,21:00:00,36.2,172.5,986.4,-0.09
110,27,2015-02-22,03:00:00,36.2,173.8,986.5,-0.16
110,28,2015-02-22,09:00:00,36.2,175.0,988.0,-0.08
110,29,2015-02-22,15:00:00,36.2,175.0,987.3,0.02
110,30,2015-02-22,21:00:00,36.2,176.2,987.8,-0.07
110,31,2015-02-23,03:00:00,35.0,177.5,988.0,-0.26
110,32,2015-02-23,09:00:00,35.0,180.0,990.3,-999
