1,cyclonegenesis date,2011-01-15T21:00:00+09:00
2,lifetime (hour),162
3,max. developing rate,2.19,36.2,152.5
4,minimum SLP,935.7,45.0,170.0
100,No. of timestep (or No. of lines),28
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2011-01-15,21:00:00,36.2,142.5,999.9,-999
110,2,2011-01-16,03:00:00,35.0,147.5,991.5,1.81
110,3,2011-01-16,09:00:00,36.2,152.5,982.3,2.19
110,4,2011-01-16,15:00:00,38.8,156.2,969.5,2.07
110,5,2011-01-16,21:00:00,40.0,160.0,960.3,2.11
110,6,2011-01-17,03:00:00,42.5,163.8,946.5,1.9
110,7,2011-01-17,09:00:00,43.8,165.0,938.5,0.82
110,8,2011-01-17,15:00:00,43.8,167.5,936.9,0.24
110,9,2011-01-17,21:00:00,45.0,170.0,935.7,0.05
110,10,2011-01-18,03:00:00,45.0,171.2,936.3,-0.26
110,11,2011-01-18,09:00:00,46.2,172.5,938.8,-0.6
110,12,2011-01-18,15:00:00,46.2,173.8,943.6,-0.74
110,13,2011-01-18,21:00:00,46.2,173.8,947.9,-0.37
110,14,2011-01-19,03:00:00,47.5,175.0,948.1,-0.06
110,15,2011-01-19,09:00:00,47.5,176.2,948.6,-0.28
110,16,2011-01-19,15:00:00,47.5,176.2,951.6,-0.51
110,17,2011-01-19,21:00:00,48.8,176.2,955.0,-0.54
110,18,2011-01-20,03:00:00,50.0,173.8,958.5,-0.57
110,19,2011-01-20,09:00:00,50.0,171.2,962.4,-0.42
110,20,2011-01-20,15:00:00,50.0,168.8,964.0,-0.27
110,21,2011-01-20,21:00:00,48.8,166.2,965.9,-0.27
110,22,2011-01-21,03:00:00,48.8,166.2,967.5,-0.45
110,23,2011-01-21,09:00:00,47.5,166.2,971.6,-0.5
110,24,2011-01-21,15:00:00,47.5,166.2,973.7,-0.34
110,25,2011-01-21,21:00:00,47.5,165.0,975.8,-0.3
110,26,2011-01-22,03:00:00,46.2,165.0,977.5,-0.33
110,27,2011-01-22,09:00:00,46.2,166.2,979.9,-0.41
110,28,2011-01-22,15:00:00,46.2,167.5,982.5,-999
