1,cyclonegenesis date,2016-11-22T09:00:00+09:00
2,lifetime (hour),90
3,max. developing rate,1.09,47.5,157.5
4,minimum SLP,966.9,55.0,162.5
100,No. of timestep (or No. of lines),16
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2016-11-22,09:00:00,38.8,145.0,1007.2,-999
110,2,2016-11-22,15:00:00,40.0,147.5,1001.7,0.94
110,3,2016-11-22,21:00:00,42.5,151.2,997.0,0.82
110,4,2016-11-23,03:00:00,45.0,155.0,992.3,0.93
110,5,2016-11-23,09:00:00,47.5,157.5,985.8,1.09
110,6,2016-11-23,15:00:00,50.0,160.0,978.7,0.97
110,7,2016-11-23,21:00:00,52.5,161.2,973.2,0.61
110,8,2016-11-24,03:00:00,53.8,162.5,970.5,0.36
110,9,2016-11-24,09:00:00,55.0,162.5,968.3,0.26
110,10,2016-11-24,15:00:00,55.0,162.5,966.9,-0.24
110,11,2016-11-24,21:00:00,55.0,166.2,971.7,-0.58
110,12,2016-11-25,03:00:00,56.2,170.0,974.9,-0.43
110,13,2016-11-25,09:00:00,57.5,172.5,977.7,-0.67
110,14,2016-11-25,15:00:00,57.5,173.8,984.5,-0.85
110,15,2016-11-25,21:00:00,58.8,176.2,989.9,-0.51
110,16,2016-11-26,03:00:00,58.8,177.5,991.9,-999
