1,cyclonegenesis date,2020-02-15T21:00:00+09:00
2,lifetime (hour),24
3,max. developing rate,1.14,36.2,130.0
4,minimum SLP,996,6,40,0,136.2
100,No. of timestep (or No. of lines),5
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2020-02-15,21:00:00,33.8,127.5,1013.7,-999
110,2,2020-02-16,03:00:00,36.2,130.0,1007.4,1.14
110,3,2020-02-16,09:00:00,36.2,132.5,1002.3,0.98
110,4,2020-02-16,15:00:00,37.5,135.0,997.6,0.61
110,5,2020-02-16,21:00:00,40,136.2,996,-999
