1,cyclonegenesis date,2012-01-31T15:00:00+09:00
2,lifetime (hour),78
3,max. developing rate,1.42,38.8,131.2
4,minimum SLP,963.3,50.0,176.2
100,No. of timestep (or No. of lines),14
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2012-01-31,15:00:00,37.5,126.2,1017.1,-999
110,2,2012-01-31,21:00:00,38.8,131.2,1011.1,1.42
110,3,2012-02-01,03:00:00,38.8,135.0,1002.0,1.42
110,4,2012-02-01,09:00:00,40.0,137.5,996.0,0.58
110,5,2012-02-01,15:00:00,40.0,140.0,995.7,-0.04
110,6,2012-02-01,21:00:00,40.0,142.5,996.4,0.26
110,7,2012-02-02,03:00:00,38.8,151.2,992.9,0.89
110,8,2012-02-02,09:00:00,40.0,153.8,986.9,1.21
110,9,2012-02-02,15:00:00,42.5,156.2,979.7,0.65
110,10,2012-02-02,21:00:00,42.5,157.5,979.4,0.1
110,11,2012-02-03,03:00:00,43.8,161.2,978.6,0.31
110,12,2012-02-03,09:00:00,46.2,167.5,975.8,0.6
110,13,2012-02-03,15:00:00,47.5,172.5,971.3,1
110,14,2012-02-03,21:00:00,50.0,176.2,963.3,-999
