1,cyclonegenesis date,2019-01-14T15:00:00+09:00
2,lifetime (hour),54
3,max. developing rate,1.30,41.2,133.8
4,minimum SLP,981.7,52.5,146.2
100,No. of timestep (or No. of lines),10
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2019-01-14,15:00:00,41.2,128.8,1021,-999
110,2,2019-01-14,21:00:00,41.2,131.2,1020.6,0.38
110,3,2019-01-15,03:00:00,41.2,132.5,1016.8,0.84
110,4,2019-01-15,09:00:00,41.2,133.8,1011.2,1.3
110,5,2019-01-15,15:00:00,42.5,137.5,1002.3,1.28
110,6,2019-01-15,21:00:00,45.0,141.2,996.5,0.95
110,7,2019-01-16,03:00:00,47.5,143.8,990.9,0.74
110,8,2019-01-16,09:00:00,48.8,146.2,987.2,0.68
110,9,2019-01-16,15:00:00,51.2,146.2,982.2,0.42
110,10,2019-01-16,21:00:00,52.5,146.2,981.7,-999
