1,cyclonegenesis date,2018-12-02T21:00:00+09:00
2,lifetime (hour),120
3,max. developing rate,1.31,46.2,148.8
4,minimum SLP,971.4,56.2,148.8
100,No. of timestep (or No. of lines),21
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2018-12-02,21:00:00,35.0,120.0,1015.8,-999
110,2,2018-12-03,03:00:00,36.2,122.5,1015.1,0.01
110,3,2018-12-03,09:00:00,37.5,123.8,1015.7,0.18
110,4,2018-12-03,15:00:00,38.8,130.0,1013.2,0.34
110,5,2018-12-03,21:00:00,40.0,133.8,1012.1,0.46
110,6,2018-12-04,03:00:00,42.5,136.2,1008.2,0.42
110,7,2018-12-04,09:00:00,43.8,138.8,1007.3,0.26
110,8,2018-12-04,15:00:00,43.8,141.2,1005.1,0.57
110,9,2018-12-04,21:00:00,43.8,145.0,1000.6,1.03
110,10,2018-12-05,03:00:00,46.2,148.8,993.0,1.31
110,11,2018-12-05,09:00:00,50.0,152.5,984.5,1.25
110,12,2018-12-05,15:00:00,52.5,152.5,976.8,0.79
110,13,2018-12-05,21:00:00,55.0,152.5,973.8,0.32
110,14,2018-12-06,03:00:00,56.2,151.2,972.3,0.17
110,15,2018-12-06,09:00:00,56.2,148.8,971.4,-0.23
110,16,2018-12-06,15:00:00,56.2,147.5,975.6,-0.75
110,17,2018-12-06,21:00:00,56.2,146.2,982.0,-0.57
110,18,2018-12-07,03:00:00,56.2,145.0,983.7,-0.2
110,19,2018-12-07,09:00:00,56.2,142.5,984.8,-0.49
110,20,2018-12-07,15:00:00,56.2,141.2,990.6,-1.4
110,21,2018-12-07,21:00:00,55.0,141.2,1004.5,-999
