1,cyclonegenesis date,2017-04-10T03:00:00+09:00
2,lifetime (hour),132
3,max. developing rate,1.82,48.8,152.5
4,minimum SLP,954.5,50.0,151.2
100,No. of timestep (or No. of lines),23
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2017-04-10,03:00:00,28.8,126.2,1005.5,-999
110,2,2017-04-10,09:00:00,30.0,127.5,1004.8,0.35
110,3,2017-04-10,15:00:00,30.0,127.5,1002.5,0.32
110,4,2017-04-10,21:00:00,31.2,128.8,1002.1,0.36
110,5,2017-04-11,03:00:00,31.2,131.2,999.3,0.51
110,6,2017-04-11,09:00:00,32.5,133.8,997.6,0.54
110,7,2017-04-11,15:00:00,33.8,136.2,994.4,0.71
110,8,2017-04-11,21:00:00,35.0,141.2,990.9,1.03
110,9,2017-04-12,03:00:00,37.5,145.0,984.4,0.81
110,10,2017-04-12,09:00:00,40.0,147.5,982.5,0.4
110,11,2017-04-12,15:00:00,42.5,151.2,980.0,0.42
110,12,2017-04-12,21:00:00,45.0,152.5,977.7,1.38
110,13,2017-04-13,03:00:00,48.8,152.5,963.5,1.82
110,14,2017-04-13,09:00:00,50.0,151.2,954.5,0.67
110,15,2017-04-13,15:00:00,50.0,151.2,954.8,-0.35
110,16,2017-04-13,21:00:00,50.0,152.5,959.0,-0.59
110,17,2017-04-14,03:00:00,50.0,153.8,962.5,-0.78
110,18,2017-04-14,09:00:00,50.0,157.5,969.2,-0.94
110,19,2017-04-14,15:00:00,51.2,160.0,974.7,-0.83
110,20,2017-04-14,21:00:00,52.5,163.8,980.2,-0.62
110,21,2017-04-15,03:00:00,53.8,166.2,983.1,-0.42
110,22,2017-04-15,09:00:00,53.8,168.8,986.0,-0.34
110,23,2017-04-15,15:00:00,55.0,171.2,987.8,-999
