1,cyclonegenesis date,2013-04-30T03:00:00+09:00
2,lifetime (hour),150
3,max. developing rate,1.08,31.2,136.2
4,minimum SLP,979.4,46.2,151.2
100,No. of timestep (or No. of lines),26
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2013-04-30,03:00:00,28.8,117.5,1006.8,-999
110,2,2013-04-30,09:00:00,28.8,121.2,1006.4,0.2
110,3,2013-04-30,15:00:00,28.8,126.2,1005.2,0.33
110,4,2013-04-30,21:00:00,30.0,131.2,1003.7,0.77
110,5,2013-05-01,03:00:00,31.2,136.2,998.7,1.08
110,6,2013-05-01,09:00:00,32.5,141.2,994.2,1.07
110,7,2013-05-01,15:00:00,35.0,146.2,988.9,0.75
110,8,2013-05-01,21:00:00,38.8,151.2,986.9,0.68
110,9,2013-05-02,03:00:00,41.2,153.8,981.7,0.57
110,10,2013-05-02,09:00:00,43.8,152.5,980.5,0.2
110,11,2013-05-02,15:00:00,46.2,151.2,979.4,-0.02
110,12,2013-05-02,21:00:00,47.5,150.0,980.8,-0.09
110,13,2013-05-03,03:00:00,47.5,147.5,980.5,-0.41
110,14,2013-05-03,09:00:00,47.5,147.5,985.9,-0.7
110,15,2013-05-03,15:00:00,47.5,147.5,989.2,-0.59
110,16,2013-05-03,21:00:00,47.5,147.5,993.3,-0.46
110,17,2013-05-04,03:00:00,47.5,148.8,994.9,-0.45
110,18,2013-05-04,09:00:00,47.5,148.8,998.9,-0.45
110,19,2013-05-04,15:00:00,47.5,150.0,1000.5,-0.39
110,20,2013-05-04,21:00:00,47.5,151.2,1003.8,-0.35
110,21,2013-05-05,03:00:00,47.5,150.0,1004.9,-0.16
110,22,2013-05-05,09:00:00,47.5,151.2,1005.8,-0.09
110,23,2013-05-05,15:00:00,47.5,151.2,1006.0,-0.12
110,24,2013-05-05,21:00:00,47.5,151.2,1007.3,-0.11
110,25,2013-05-06,03:00:00,47.5,150.0,1007.4,-0.32
110,26,2013-05-06,09:00:00,47.5,150.0,1011.3,-999
