1,cyclonegenesis date,2016-04-27T03:00:00+09:00
2,lifetime (hour),150
3,max. developing rate,1.11,36.2,142.5
4,minimum SLP,967.7,45.0,151.2
100,No. of timestep (or No. of lines),27
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2016-04-27,03:00:00,31.2,126.2,1006.2,-999
110,2,2016-04-27,09:00:00,32.5,126.2,1004.1,0.45
110,3,2016-04-27,15:00:00,32.5,128.8,1002.1,0.32
110,4,2016-04-27,21:00:00,32.5,131.2,1001.2,0.45
110,5,2016-04-28,03:00:00,33.8,132.5,998.0,0.38
110,6,2016-04-28,09:00:00,33.8,135.0,997.6,0.43
110,7,2016-04-28,15:00:00,35.0,140.0,993.9,0.64
110,8,2016-04-28,21:00:00,36.2,142.5,991.4,1.11
110,9,2016-04-29,03:00:00,38.8,145.0,982.8,0.9
110,10,2016-04-29,09:00:00,40.0,147.5,981.8,0.45
110,11,2016-04-29,15:00:00,41.2,148.8,977.9,0.54
110,12,2016-04-29,21:00:00,42.5,150.0,975.8,0.18
110,13,2016-04-29,21:00:00,42.5,150.0,975.8,0.5
110,14,2016-04-30,03:00:00,45.0,150.0,970.1,0.67
110,15,2016-04-30,09:00:00,45.0,151.2,967.7,-0.02
110,16,2016-04-30,15:00:00,46.2,152.5,970.3,-0.43
110,17,2016-04-30,21:00:00,46.2,153.8,973.0,-0.49
110,18,2016-05-01,03:00:00,46.2,156.2,976.3,-0.74
110,19,2016-05-01,09:00:00,47.5,158.8,982.1,-0.65
110,20,2016-05-01,15:00:00,47.5,161.2,984.4,-0.56
110,21,2016-05-01,21:00:00,48.8,162.5,989.1,-0.44
110,22,2016-05-02,03:00:00,48.8,165.0,990.0,-0.28
110,23,2016-05-02,09:00:00,50.0,167.5,992.7,-0.28
110,24,2016-05-02,15:00:00,51.2,171.2,993.7,-0.16
110,25,2016-05-02,21:00:00,51.2,173.8,994.8,-0.07
110,26,2016-05-03,03:00:00,52.5,176.2,994.6,-0.07
110,27,2016-05-03,09:00:00,53.8,178.8,995.7,-999
