1,cyclonegenesis date,2018-01-07T21:00:00+09:00
2,lifetime (hour),78
3,max. developing rate,1.38,43.8,147.5
4,minimum SLP,962.3,47.5,152.5
100,No. of timestep (or No. of lines),14
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2018-01-07,21:00:00,31.2,125.0,1013.5,-999
110,2,2018-01-08,03:00:00,32.5,127.5,1011.1,0.38
110,3,2018-01-08,09:00:00,33.8,130.0,1010.0,0.76
110,4,2018-01-08,15:00:00,36.2,132.5,1003.9,1.03
110,5,2018-01-08,21:00:00,41.2,135.0,999.7,1.11
110,6,2018-01-09,03:00:00,42.5,137.5,991.5,1.29
110,7,2018-01-09,09:00:00,43.8,140.0,984.9,1.24
110,8,2018-01-09,15:00:00,43.8,147.5,976.9,1.38
110,9,2018-01-09,21:00:00,46.2,150.0,968.7,1.18
110,10,2018-01-10,03:00:00,47.5,152.5,962.4,0.51
110,11,2018-01-10,09:00:00,47.5,152.5,962.3,-0.03
110,12,2018-01-10,15:00:00,47.5,153.8,962.8,-0.6
110,13,2018-01-10,21:00:00,48.8,158.8,969.8,-0.52
110,14,2018-01-11,03:00:00,50.0,165.0,969.4,-999
