1,cyclonegenesis date,2014-11-12T03:00:00+09:00
2,lifetime (hour),96
3,max. developing rate,1.02,42.5,132.5
4,minimum SLP,975.7,52.5,147.5
100,No. of timestep (or No. of lines),17
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2014-11-12,03:00:00,41.2,131.2,1003.4,-999
110,2,2014-11-12,09:00:00,42.5,132.5,997.7,1.02
110,3,2014-11-12,15:00:00,43.8,135.0,991.7,0.84
110,4,2014-11-12,21:00:00,45.0,137.5,987.8,0.74
110,5,2014-11-13,03:00:00,47.5,138.8,982.8,0.64
110,6,2014-11-13,09:00:00,48.8,138.8,979.8,-0.01
110,7,2014-11-13,15:00:00,48.8,140.0,982.9,-0.05
110,8,2014-11-13,21:00:00,51.2,147.5,980.5,0.54
110,9,2014-11-14,03:00:00,52.5,147.5,975.7,0.3
110,10,2014-11-14,09:00:00,52.5,146.2,976.5,-0.17
110,11,2014-11-14,15:00:00,52.5,146.2,978.0,-0.45
110,12,2014-11-14,21:00:00,51.2,147.5,982.5,-0.62
110,13,2014-11-15,03:00:00,51.2,148.8,986.2,-0.54
110,14,2014-11-15,09:00:00,51.2,151.2,989.6,-0.15
110,15,2014-11-15,15:00:00,50.0,151.2,988.2,-0.03
110,16,2014-11-15,21:00:00,50.0,153.8,990.0,-0.24
110,17,2014-11-16,03:00:00,48.8,155.0,991.3,-999
