1,cyclonegenesis date,2017-02-09T03:00:00+09:00
2,lifetime (hour),72
3,max. developing rate,1.43,32.5,140.0
4,minimum SLP,968.5,42.5,162.5
100,No. of timestep (or No. of lines),13
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2017-02-09,03:00:00,31.2,133.8,1008.3,-999
110,2,2017-02-09,09:00:00,31.2,136.2,1004.3,1.39
110,3,2017-02-09,15:00:00,32.5,140.0,996.1,1.43
110,4,2017-02-09,21:00:00,35.0,142.5,991.3,1.43
110,5,2017-02-10,03:00:00,36.2,146.2,982.2,1.2
110,6,2017-02-10,09:00:00,37.5,148.8,979.3,0.85
110,7,2017-02-10,15:00:00,38.8,151.2,973.4,0.53
110,8,2017-02-10,21:00:00,40.0,155.0,973.7,0.13
110,9,2017-02-11,03:00:00,41.2,158.8,972.0,0.47
110,10,2017-02-11,09:00:00,42.5,162.5,968.5,0.28
110,11,2017-02-11,15:00:00,42.5,166.2,968.8,-0.17
110,12,2017-02-11,21:00:00,42.5,171.2,970.5,-0.22
110,13,2017-02-12,03:00:00,42.5,175.0,971.3,-999
