1,cyclonegenesis date,2010-12-14T03:00:00+09:00
2,lifetime (hour),48
3,max. developing rate,1.50,46.2,150.0
4,minimum SLP,960.5,56.2,148.8
100,No. of timestep (or No. of lines),9
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2010-12-14,03:00:00,38.8,142.5,1003.1,-999
110,2,2010-12-14,09:00:00,41.2,145.0,996.7,1.2
110,3,2010-12-14,15:00:00,43.8,148.8,989.7,1.2
110,4,2010-12-14,21:00:00,46.2,150.0,982.6,1.5
110,5,2010-12-15,03:00:00,50.0,151.2,971.3,1.3
110,6,2010-12-15,09:00:00,53.8,151.2,965.7,0.79
110,7,2010-12-15,15:00:00,56.2,148.8,960.5,0.33
110,8,2010-12-15,21:00:00,57.5,146.2,961.0,-0.54
110,9,2010-12-16,03:00:00,60.0,143.8,968.3,-999
