1,cyclonegenesis date,2019-03-16T09:00:00+09:00
2,lifetime (hour),48
3,max. developing rate,1.61,37.5,148.8
4,minimum SLP,979.6,42.5,161.2
100,No. of timestep (or No. of lines),9
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2019-03-16,09:00:00,35.0,145.0,1008.6,-999
110,2,2019-03-16,15:00:00,37.5,148.8,999.4,1.61
110,3,2019-03-16,21:00:00,38.8,152.5,992.0,1.47
110,4,2019-03-17,03:00:00,41.2,156.2,983.8,0.93
110,5,2019-03-17,09:00:00,42.5,158.8,981.6,0.37
110,6,2019-03-17,15:00:00,42.5,161.2,979.6,-0.29
110,7,2019-03-17,21:00:00,43.8,167.5,984.9,-0.17
110,8,2019-03-18,03:00:00,45.0,172.5,981.6,0.43
110,9,2019-03-18,09:00:00,45.0,176.2,979.8,-999
