1,cyclonegenesis date,2011-01-29T15:00:00+09:00
2,lifetime (hour),42
3,max. developing rate,1.04,33.8,146.2
4,minimum SLP,981.9,41.2,177.5
100,No. of timestep (or No. of lines),8
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2011-01-29,15:00:00,33.8,143.8,1011.7,-999
110,2,2011-01-29,21:00:00,33.8,146.2,1008.6,1.04
110,3,2011-01-30,03:00:00,35.0,150.0,1001.9,0.99
110,4,2011-01-30,09:00:00,36.2,155.0,999.0,0.89
110,5,2011-01-30,15:00:00,37.5,161.2,993.0,1.05
110,6,2011-01-30,21:00:00,38.8,167.5,988.2,0.86
110,7,2011-01-31,03:00:00,40.0,172.5,983.9,0.58
110,8,2011-01-31,09:00:00,41.2,177.5,981.9,-999
