1,cyclonegenesis date,2018-01-05T09:00:00+09:00
2,lifetime (hour),78
3,max. developing rate,1.89,35.0,153.8
4,minimum SLP,954.6,48.8,180.0
100,No. of timestep (or No. of lines),14
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2018-01-05,09:00:00,28.8,130.0,1012.0,-999
110,2,2018-01-05,15:00:00,28.8,133.8,1009.9,0.48
110,3,2018-01-05,21:00:00,30.0,137.5,1008.1,0.78
110,4,2018-01-06,03:00:00,33.8,145.0,1003.3,0.72
110,5,2018-01-06,09:00:00,33.8,148.8,1001.3,1.21
110,6,2018-01-06,15:00:00,35.0,153.8,991.9,1.89
110,7,2018-01-06,21:00:00,36.2,157.5,982.9,1.85
110,8,2018-01-07,03:00:00,37.5,161.2,973.4,1.08
110,9,2018-01-07,09:00:00,38.8,166.2,971.7,0.71
110,10,2018-01-07,15:00:00,41.2,170.0,965.9,0.87
110,11,2018-01-07,21:00:00,42.5,173.8,962.0,0.71
110,12,2018-01-08,03:00:00,45.0,176.2,957.8,0.52
110,13,2018-01-08,09:00:00,47.5,178.8,955.7,0.26
110,14,2018-01-08,15:00:00,48.8,180.0,954.6,-999
